Código;Cond. Pagto;Descricao
S93;31,59,90;31,59,90DIAS
S94;31,59,90,120;31,59,90,120DIA
S95;29,59;29,59DIAS
S96;20,42;20,42DIAS
S97;14,28;14,28DIAS
S98;22,41,58;22,41,58DIAS
S99;28,54;28,54DIAS
SB;85;85 DIAS
SIN;1,15,05,25;SINAGRO
SS;91;91 DIAS
SS1;20,40,60,80;20/40/60/80DIAS
T01;27,6,15;PARCAUTO
T02;05,09,10;FATMORIANO
T03;20,14,16;PMTMULTIPLA
T1;60,3,31;PARCELAMENTO
T10;19,39;19,39DIAS
T11;30,60,90,120,150;30,60,90,120,15
T12;24,57,87;24,57,87DIAS
T13;34,64;34,64DIAS
T14;33,63;33,63DIAS
T15;18,46,74;16,46,74 DIAS
T16;17,38;17,38DIAS
T17;19,48,79;19,48,79DIAS
T18;19,48;19,48DIAS
T19;13,10,25;13,10,25 BB
T2;18,38,59;18,38,59DIAS
T20;19,43,65;19,43,65DIAS
T21;10,28;10,28DIAS
T22;29,59,90,120;29,59,90,120DIA
T23;29,61,90,121;29,61,90,120DIA
T24;60,01,13;CONT 25771
T25;28,59,88;28,59,88DIAS
T26;36,02,17;AUT INF FIL 56
T3;60,10,14;CT25551
T30;18,39,62;18,39,62DIAS
T31;33,64;33,64DIAS
T32;25,56,88;25,56,88DIAS
T33;25,56,86;25,56,86DIAS
T34;9,28;09,28DIAS
T35;43,73,104;43,73,104DIAS
T36;26,57,85;26,57,85DIAS
T37;27,56;27,56DIAS
T38;141,30,30;PERT FBD
T39;28,57,88,119;28,57,88,119DIA
T4;27,58;27,58DIAS
T40;59,27,30;PARC TC CARGAS
T41;7;7 PARCELAS
T42;116;116 DIAS
T43;32,63;32,63DIAS
T44;18,38,60;18,38,60DIAS
T45;18,24,25;PARC ICMS GUARA
T46;24,26,25;PARC ICMS 06-07
T4S;28,56,84,112,140;28,56,84,112,14
T5;27,58,90;27,58,90DIAS
T50;64;64DIAS
T51;66;66DIAS
T52;8,30,10;FATMORIANO
T53;9,29,30;PARCSANCA
T54;12,30,25;PARCICMSCARGAS
T55;12,19,25;PARCICMS080910
T58;28,57,85;28,57,85DIAS
T59;22,09,10;PARC PLD
T5S;27,55,83,111,139;27,55,83,111,13
T6;22,54,83;22,54,83DIAS
T60;28,58,90;28,58,90DIAS
T61;57,30,28;PARCCIMS09
T62;0,30,60,90,120,150,180;ALIN DIGIPRATIC
T69;12,43;12,43 DIAS
T7;22,53,83,113;22,53,83,113DIA
T8;16,41,56,77;16,41,56,77DIAS
T87;1,15,10,25;VCTO 10 OU 25
T88;15,43;15,43 DIAS
T89;13,44;13,44 DIAS
T9;28,59,89,120;28,59,89,120DIA
T99;25,56,84;25,56,84DIAS
TA;28,56,84,112;28,56,84,112DIA
TH1;1,30,3;28 DIAS TERCA
THG;28,42;28,42 DIAS
THY;7,3;7,30 DIAS
TIG;12,28;12,28DIAS
TRE;1,15,5,15,25;TRES TENTOS
TTG;29,59,89,119;29,59,89,119DIA
TTT;11,31,59;11,31,59 DIAS
TYG;19,49;19,49 DIAS
UUU;1,11,13,27;UBY
V10;79;79DIAS
V20;21,28,35,42,56,66,75;21,28,35,42,56,
VBN;5,12;05/12 DIAS
W21;30,58,86;30,58,86 DIAS
W34;15,30,60,90;15,30,60,90
X51;1,15,10,25;PRODUTEC
X90;15,45;15,45 DIAS
X98;35,49,63;35 49 63 DIAS
XCV;20,27;20/27 DIAS
XX1;70;70 DIAS
XX2;101;101 DIAS
XX7;15,22,29;15/22/29 DIAS
Y01;67;67 DIAS
Y02;97;97 DIAS
Y03;128;128 DIAS
Y04;68;68 DIAS
Y10;10,41,73;10 41 73 DIAS
Y11;12,30,60;12 30 60 DIAS
Y55;0,30,60;0,30,60 DIAS
YY1;119;119 DIAS
Z01;8,30,29;APOLICE SEGURO
Z02;28,45,60;28/45/60 DIAS
Z03;103;103 DIAS
Z05;30,60,90,120,150,180;30 60 90 120 15
Z08;1,30,60;1, 30, 60 DIAS
Z09;60,24,29;ICMS11,12,01 SP
Z10;209;209 DIAS
Z11;60,26,30;PARC FED DEB AU
Z12;70,06,09;DARE SC PARCE
Z13;32,60,91;32,60,91DIAS
Z18;15,30,60,90;15 30 60 90 DIA
Z20;10,28;10 28 DIAS
Z23;30,60,90,120;30/60/90/120 D
Z24;21,51,81,112;21,51,81,112DIA
Z25;10,38;10 38 DIAS
Z30;81;81 DIAS
Z40;31,59,90,122;31,59,90,122DIA
Z42;5;5 PARCELAS
Z46;46,26,30;PARCELAMENTO
Z50;15,30,60;15 30 60 DIAS
Z51;170;170 DIAS
Z54;28,57,89;28,57,89DIAS
Z70;26,57,88;26,57,88DIAS
Z75;131;131 DIAS
Z80;105;105 DIAS
Z81;107;107DIAS
Z90;31,63;31,63DIAS
Z91;34,62;34,62DIAS
Z92;31,63,93;31,63,93DIAS
Z93;23,52,83;23,52,83DIAS
Z94;30,60,90,120,150;30 60 90 120 15
Z95;1,28,3;28 DIAS TERCA
Z96;142;142DIAS
Z97;133;133DIAS
Z98;123;123DIAS
Z99;83;83DIAS
ZKO;85;85 DIAS
ZYC;199;199 DIAS
ZYX;121;121 DIAS
ZZ1;28,42,56;28/42/56 DIAS
ZZ2;28,35;25,35 DDL
ZZ3;28,35;28,35 DDL
ZZ5;07,30,60,90;07/30/60/90DIAS
ZZ6;52;52 PARCELAS
ZZ8;52,00,20;52X
ZZ9;3;03 PARCELAS
ZZZ;128;128D
