Código;Cond. Pagto;Descricao
552;24,48,36;24 PARCELAS
553;1,15,20;VENC DIA 20
554;1,35,4;35 DIAS, QUARTA
555;40;40 DIAS
556;18,49;18/49 DIAS
557;1,45,4;45 DIAS QUARTAS
558;1,90,4;90 DIAS QUARTAS
559;35,66,96;35/66/96 DIAS
560;1,21,11,21;OXITENO
561;23;23 DIAS
562;28,35,45;28,35,45 DIAS
563;28,56,84;28,56,84 DIAS
564;28,35,42;28/35/42 DIAS
565;0,30,60,90;ATO+30/60/90
566;28,35,50,56;28/35/50/56 DIA
567;28,45;28/45 DIAS
568;33,61,89;33/61/89 DIAS
569;1,30,26;VENC. DIA 26
570;21,39,56;21/39/56 DIAS
571;30,57,93;30/57/93 DIAS
572;26,54,83;26/54/83 DIAS
573;32,60,89;32/60/89 DIAS
574;20,35,50;20/35/50 DIAS
575;31,61,92;31/61/92 DIAS
576;33,63,94;33/63/94 DIAS
577;32,62,93;32/62/93 DIAS
578;33,61,90;33/61/90 DIAS
579;20,38;20/38 DIAS
580;28,49,77;28/49/77 DIAS
581;24,54;24/54  DIAS
582;21,41;21/41 DIAS
583;23,53;23/53 DIAS
584;21,51;21/51 DIAS
585;41,6;41/60 DIAS
586;21,53;21/53 DIAS
587;14,34;14/34 DIAS
588;14,38,61;14/38/61 DIAS
589;28,59;28/59 DIAS
590;24,49,74;24/49/74 DIAS
591;14,34,53,75;14/34/53/75 DIA
592;15,3;15/30 DIAS
593;18,38,61;18/38/61 DIAS
594;19,40,60;19/40/60 DIAS
595;19,28,40,60;19/28/40/60 DIA
596;26,54;26/54 DIAS
597;16,40,91;16/40/91 DIAS
598;22,53,83;22,53,83 DIAS
599;17,48;17/48 DIAS
600;0;A VISTA
601;1;1 DIA
602;2;2 DIAS
603;3;3 DIAS
604;4;4 DIAS
605;5;5 DIAS
606;6;6 DIAS
607;7;7 DIAS
608;8;8 DIAS
609;9;9 DIAS
610;10;10 DIAS
611;11;11 DIAS
612;12;12 DIAS
613;13;13 DIAS
614;14;14 DIAS
615;15;15 DIAS
616;16;16 DIAS
617;17;17 DIAS
618;18;18 DIAS
619;19;19 DIAS
620;20;20 DIAS
621;21;21 DIAS
622;22;22 DIAS
623;23;23 DIAS
624;24;24 DIAS
625;25;25 DIAS
626;26;26 DIAS
627;27;27 DIAS
628;28;28 DIAS
629;29;29 DIAS
630;30;30 DIAS
631;31;31 DIAS
632;32;32 DIAS
633;33;33 DIAS
634;34;34 DIAS
635;35;35 DIAS
636;36;36 DIAS
637;37;37 DIAS
638;38;38 DIAS
639;39;39 DIAS
640;40;40 DIAS
641;41;41 DIAS
642;42;42 DIAS
643;43;43 DIAS
644;44;44 DIAS
645;45;45 DIAS
646;46;46 DIAS
647;47;47 DIAS
648;48;48 DIAS
649;49;49 DIAS
650;50;50 DIAS
651;51;51 DIAS
652;52;52 DIAS
653;53;53 DIAS
654;54;54 DIAS
655;55;55 DIAS
656;56;56 DIAS
657;57;57 DIAS
658;58;58 DIAS
659;59;59 DIAS
660;60;60 DIAS
661;87;87DIAS
662;35,42;35/42 DIAS
663;39,70,100;39/70/100 DIAS
664;8,31;8/31 DIAS
665;62;62 DIAS
667;19,35;19/35 DIAS
668;22,45;22/45 DIAS
669;0,28;A VISTA/28 DIAS
670;20,53;20/53 DIAS
671;25,55,86,116;25/55/86/116 D
672;24,54,85,115;24/54/85/115 D
673;28,41,66,91;28/41/66/91 DIA
684;84;84 DIAS
690;90;90 DIAS
692;92;92 DIAS
693;93;93 DIAS
694;86;86 DIAS
695;99;99DIAS
701;22,52;22,52 DIAS
702;0,02,30;COND JUR 2X
703;0,03,30;COND JUR 3X
704;0,04,30;COND JUR 4X
705;0,05,30;COND JUR 5X
706;0,06,30;COND JUR 6X
707;0,07,30;COND JUR 7X
708;0,08,30;COND JUR 8X
709;0,09,30;COND JUR 9X
710;0,10,30;COND JUR 10X
711;0,11,30;COND JUR 11X
712;0,12,30;COND JUR 12X
713;0,13,30;COND JUR 13X
714;0,14,30;COND JUR 14X
715;0,15,30;COND JUR 15X
716;0,16,30;COND JUR 16X
717;0,17,30;COND JUR 17X
718;0,18,30;COND JUR 18X
719;0,19,30;COND JUR 19X
720;0,20,30;COND JUR 20X
721;1,15,05,15,25;BUSSADORI
722;12,22;12/22 DIAS
723;20,40,60;20/40/60 DIAS
724;16,37;16/37 DIAS
725;26,45,65;26/45/65 DIAS
726;25,55,86;25/55/86 DIAS
727;10,20,50;10,20,50 DIAS
728;38,68;38/68 DIAS
729;18,49,80;18/49/80 DIAS
730;22,53;22/53 DIAS
731;1,30,6,0;30 DIAS, SEXTA
732;30,45,60,75;30,45,60,75 DIA
733;29,59,90,121,151,182;DIAS
748;7,48;7,48 DIAS
754;30,62;30,62 DIAS
755;0,21,30;COND JUR 21X
756;01,22,30;COND JUR 22X
757;0,23,30;COND JUR 23X
758;0,24,30;COND JUR 24X
759;0,25,30;COND JUR 25X
760;0,26,30;COND JUR 26X
761;0,27,30;COND JUR 27X
762;0,28,30;COND JUR 28X
763;0,29,30;COND JUR 29X
764;0,30,30;COND JUR 30X
765;0,31,30;COND JUR 31X
766;0,32,30;COND JUR 32X
767;0,33,30;COND JUR 33X
768;0,34,30;COND JUR 34X
769;0,35,30;COND JUR 35X
770;0,36,30;COND JUR 36X
